building name,street number,street name,street suffix,rooms
BUILDING W53C,410,MEMORIAL,DR,1
BUILDING W53C,77,MASSACHUSETTS,AVE,1
BUILDING W53C,410,MEMORIAL,DR,1
CARR INDOOR TENNIS FACILITY(SVC),410,MEMORIAL,DR,1
CARR INDOOR TENNIS FACILITY(SVC),77,MASSACHUSETTS,AVE,1
CARR INDOOR TENNIS FACILITY(SVC),410,MEMORIAL,DR,1
BUILDING W56,169,VASSAR,ST,16
BUILDING W56,77,MASSACHUSETTS,AVE,16
BUILDING W56,169,VASSAR,ST,16
BUILDING W57,169,VASSAR,ST,3
BUILDING W57,169,VASSAR,ST,3
BUILDING W57A,169,VASSAR,ST,1
BUILDING W57A,169,VASSAR,ST,1
HEINZ BUILDING,201,VASSAR,ST,153
HEINZ BUILDING,77,MASSACHUSETTS,AVE,153
HEINZ BUILDING,VAS201,,,153
HEINZ BUILDING,201,VASSAR,ST,153
MACGREGOR HOUSE,450,MEMORIAL,DR,134
MACGREGOR HOUSE,450,MEMORIAL,DR,134
MACGREGOR HOUSE,MEM430,,,134
MACGREGOR HOUSE,450,MEMORIAL,DR,134
MACGREGOR HOUSE (A),450,MEMORIAL,DR,91
MACGREGOR HOUSE (A),450,MEMORIAL,DR,91
MACGREGOR HOUSE (B),450,MEMORIAL,DR,91
MACGREGOR HOUSE (B),450,MEMORIAL,DR,91
MACGREGOR HOUSE (C),450,MEMORIAL,DR,91
MACGREGOR HOUSE (C),450,MEMORIAL,DR,91
MACGREGOR HOUSE (D),450,MEMORIAL,DR,91
MACGREGOR HOUSE (D),450,MEMORIAL,DR,91
MACGREGOR HOUSE (E),450,MEMORIAL,DR,88
MACGREGOR HOUSE (E),450,MEMORIAL,DR,88
MACGREGOR HOUSE (F),450,MEMORIAL,DR,103
MACGREGOR HOUSE (F),450,MEMORIAL,DR,103
MACGREGOR HOUSE (G),450,MEMORIAL,DR,99
MACGREGOR HOUSE (G),450,MEMORIAL,DR,99
MACGREGOR HOUSE (H),450,MEMORIAL,DR,103
MACGREGOR HOUSE (H),450,MEMORIAL,DR,103
MACGREGOR HOUSE (J),450,MEMORIAL,DR,75
MACGREGOR HOUSE (J),450,MEMORIAL,DR,75
MACGREGOR HOUSE (M),450,MEMORIAL,DR,4
MACGREGOR HOUSE (M),450,MEMORIAL,DR,4
BUILDING W64,219,VASSAR,ST,62
BUILDING W64,77,MASSACHUSETTS,AVE,62
BUILDING W64,219,VASSAR,ST,62
NEW HOUSE,471,MEMORIAL,DR,13
NEW HOUSE,472,MEMORIAL,DR,13
NEW HOUSE,473,MEMORIAL,DR,13
NEW HOUSE,474,MEMORIAL,DR,13
NEW HOUSE,475,MEMORIAL,DR,13
NEW HOUSE,476,MEMORIAL,DR,13
NEW HOUSE,471-476,MEMORIAL,DR,13
NEW HOUSE,MEM430,,,13
NEW HOUSE,471-476,MEMORIAL,DR,13
NEW HOUSE (A),471,MEMORIAL,DRIVE,104
NEW HOUSE (A),471-476,MEMORIAL,DR,104
NEW HOUSE (B),471,MEMORIAL,DRIVE,91
NEW HOUSE (B),471-476,MEMORIAL,DR,91
NEW HOUSE (C),471,MEMORIAL,DRIVE,101
NEW HOUSE (C),471-476,MEMORIAL,DR,101
NEW HOUSE (D),471,MEMORIAL,DRIVE,98
NEW HOUSE (D),471-476,MEMORIAL,DR,98
NEW HOUSE (E),471,MEMORIAL,DRIVE,104
NEW HOUSE (E),471-476,MEMORIAL,DR,104
NEW HOUSE (F),471,MEMORIAL,DRIVE,93
NEW HOUSE (F),476,MEMORIAL,DRIVE,93
NEW HOUSE (F),471-476,MEMORIAL,DR,93
NEW HOUSE (G),471,MEMORIAL,DRIVE,14
NEW HOUSE (G),476,MEMORIAL,DRIVE,14
NEW HOUSE (G),471-476,MEMORIAL,DR,14
NEXT HOUSE,500,MEMORIAL,DR,507
NEXT HOUSE,500,MEMORIAL,DR,507
NEXT HOUSE,MEM531,,,507
NEXT HOUSE,MEM430,,,507
NEXT HOUSE,500,MEMORIAL,DR,507
SIMMONS HALL,229,VASSAR,ST,910
SIMMONS HALL,229,VASSAR,ST,910
SIMMONS HALL,229,VASSAR,ST,910
TANG HALL,550,MEMORIAL,DR,308
TANG HALL,550,MEMORIAL,DR,308
TANG HALL,MEM531R,,,308
TANG HALL,MEM531,,,308
TANG HALL,550,MEMORIAL,DR,308
WESTGATE,540,MEMORIAL,DR,327
WESTGATE,WESTGATE,,,327
WESTGATE,MEM545R,,,327
WESTGATE,540,MEMORIAL,DR,327
WESTGATE (A),11,AUDREY,ST,11
WESTGATE (A),MEM545R,,,11
WESTGATE (A),11,AUDREY,ST,11
WESTGATE (ABC),11,AUDREY,ST,0
WESTGATE (ABC),13,AUDREY,ST,0
WESTGATE (ABC),15,AUDREY,ST,0
WESTGATE (ABC),11-13-15,AUDREY,ST,0
WESTGATE (B),13,AUDREY,ST,10
WESTGATE (B),MEM545R,,,10
WESTGATE (B),13,AUDREY,ST,10
WESTGATE (C),15,AUDREY,ST,10
WESTGATE (C),MEM545R,,,10
WESTGATE (C),15,AUDREY,ST,10
WESTGATE (D),292,VASSAR,ST,10
WESTGATE (D),MEM545R,,,10
WESTGATE (D),292,VASSAR,ST,10
WESTGATE (DE),290,VASSAR,ST,0
WESTGATE (DE),292,VASSAR,ST,0
WESTGATE (DE),292-290,VASSAR,ST,0
WESTGATE (E),290,VASSAR,ST,10
WESTGATE (E),MEM545R,,,10
WESTGATE (E),290,VASSAR,ST,10
WESTGATE (F),286,VASSAR,ST,10
WESTGATE (F),MEM545R,,,10
WESTGATE (F),286,VASSAR,ST,10
WESTGATE (FG),284,VASSAR,ST,0
WESTGATE (FG),286,VASSAR,ST,0
WESTGATE (FG),286-284,VASSAR,ST,0
WESTGATE (G),284,VASSAR,ST,10
WESTGATE (G),MEM545R,,,10
WESTGATE (G),284,VASSAR,ST,10
WESTGATE (H),282,VASSAR,ST,10
WESTGATE (H),MEM545R,,,10
WESTGATE (H),282,VASSAR,ST,10
WESTGATE (HJK),278,VASSAR,ST,0
WESTGATE (HJK),280,VASSAR,ST,0
WESTGATE (HJK),282,VASSAR,ST,0
WESTGATE (HJK),282-280-278,VASSAR,ST,0
WESTGATE (J),280,VASSAR,ST,10
WESTGATE (J),280,VASSAR,ST,10
WESTGATE (K),278,VASSAR,ST,10
WESTGATE (K),MEM545R,,,10
WESTGATE (K),278,VASSAR,ST,10
MIT POLICE,301,VASSAR,ST,81
MIT POLICE,77,MASSACHUSETTS,AVE,81
MIT POLICE,301,VASSAR,ST,81
INFORMATION SYSTEMS OPERATIONS,565,MEMORIAL,DR,170
INFORMATION SYSTEMS OPERATIONS,570,MEMORIAL,DR,170
INFORMATION SYSTEMS OPERATIONS,77,MASSACHUSETTS,AVE,170
INFORMATION SYSTEMS OPERATIONS,MEM565,,,170
INFORMATION SYSTEMS OPERATIONS,565-570,MEMORIAL,DR,170
BUILDING W92,304,VASSAR,ST,356
BUILDING W92,77,MASSACHUSETTS,AVE,356
BUILDING W92,304,VASSAR,ST,356
BUILDING W98,600,MEMORIAL,DR,532
BUILDING W98,77,MASSACHUSETTS,AVE,532
BUILDING W98,600,MEMORIAL,DR,532
BUILDING WW15,350,BROOKLINE,ST,108
BUILDING WW15,77,MASSACHUSETTS,AVE,108
BUILDING WW15,BRO350,,,108
BUILDING WW15,350,BROOKLINE,ST,108
BUILDING WW25,142,WAVERLY,ST,2
BUILDING WW25,631,PUTNAM,,2
BUILDING WW25,9,CHESTNUT,,2
BUILDING WW25,77,MASSACHUSETTS,AVE,2
BUILDING WW25,142,WAVERLY,ST,2
